id,n_victimas,lugar_del_hecho,comuna,altura,participantes,calle,acusado,tipo_de_calle,hora,id_hecho,fecha,aaaa,mm,dd,rol,victima,sexo,edad,fecha_fallecimiento
2021-0052,1,"paz, gral. av. 14723",8,14723.0,moto-objeto fijo,"paz, gral. av.",objeto fijo,gral paz,05:40:00,2021-0052,2021-06-20,2021,6,20,pasajero_acompañante,moto,femenino,19,2021-06-20
2021-0053,1,corrientes av. 5783,15,5783.0,peaton-bicicleta,corrientes av.,bicicleta,avenida,12:00:00,2021-0053,2021-06-20,2021,6,20,peaton,peaton,masculino,58,2021-06-30
2021-0054,1,tabare y erezcano,4,sin dato,moto-cargas,tabare,cargas,calle,14:44:00,2021-0054,2021-06-22,2021,6,22,conductor,moto,masculino,41,2021-06-22
2021-0055,1,corrientes av. y pueyrredor av.,3,sin dato,moto-cargas,corrientes av.,cargas,avenida,12:20:00,2021-0055,2021-06-29,2021,6,29,pasajero_acompañante,moto,masculino,47,2021-06-29
2021-0056,1,"corrales y moreno, perito av.",4,sin dato,bicicleta-auto,corrales,auto,avenida,23:25:00,2021-0056,2021-07-09,2021,7,9,ciclista,bicicleta,masculino,60,2021-07-09
2021-0057,1,"au illia km 3.2, altura cabinas de peaje",2,sin dato,auto-objeto fijo,autopista arturo illia,objeto fijo,autopista,23:30:00,2021-0057,2021-07-10,2021,7,10,conductor,auto,masculino,46,2021-07-10
2021-0058,1,av. gral. paz y vedia,12,sin dato,peaton-auto,"paz, gral. av.",auto,gral paz,00:40:00,2021-0058,2021-07-21,2021,7,21,peaton,peaton,masculino,24,2021-07-21
2021-0059,1,"garay, juan de av. 2269",3,2269.0,auto-objeto fijo,"garay, juan de av.",objeto fijo,avenida,01:20:00,2021-0059,2021-07-22,2021,7,22,pasajero_acompañante,auto,femenino,44,2021-07-22
2021-0060,1,"salguero, jeronimo y rivadavia av.",5,sin dato,peaton-pasajeros,"salguero, jeronimo",pasajeros,avenida,12:30:00,2021-0060,2021-07-22,2021,7,22,peaton,peaton,femenino,80,2021-07-22
2021-0061,1,"moreno, perito av. y alcorta, amancio av.",4,sin dato,peaton-cargas,"moreno, perito av.",cargas,avenida,09:15:00,2021-0061,2021-07-24,2021,7,24,peaton,peaton,femenino,55,2021-07-24
2021-0062,1,la plata av. 2723,4,2723.0,auto-cargas,la plata av.,cargas,avenida,07:16:00,2021-0062,2021-07-27,2021,7,27,conductor,auto,masculino,73,2021-07-27
2021-0063,1,"alberdi, juan bautista av. 2906",7,2906.0,auto-auto,"alberdi, juan bautista av.",auto,avenida,04:40:00,2021-0063,2021-08-02,2021,8,2,pasajero_acompañante,auto,femenino,31,2021-08-02
2021-0064,1,"paz, gral. av. y tonelero",9,sin dato,peaton-cargas,"paz, gral. av.",cargas,gral paz,20:00:00,2021-0064,2021-08-02,2021,8,2,peaton,peaton,masculino,37,2021-08-03
2021-0065,1,av. san juan y av. la plata,6,sin dato,peaton-pasajeros,san juan av.,pasajeros,avenida,08:30:00,2021-0065,2021-08-06,2021,8,6,peaton,peaton,femenino,63,2021-08-10
2021-0066,1,av. lope de vega y av. gral. paz,11,sin dato,peaton-pasajeros,lope de vega av.,pasajeros,avenida,20:00:00,2021-0066,2021-08-06,2021,8,6,peaton,peaton,masculino,59,2021-08-09
2021-0067,1,"au frondizi km 2,9 (altura brasil)",1,sin dato,moto-objeto fijo,autopista 1 sur presidente arturo frondizi,objeto fijo,autopista,09:29:00,2021-0067,2021-08-08,2021,8,8,conductor,moto,masculino,27,2021-08-08
2021-0068,1,"beiro, francisco av. 5071",11,5071.0,moto-objeto fijo,"beiro, francisco av.",objeto fijo,avenida,06:10:00,2021-0068,2021-08-15,2021,8,15,conductor,moto,masculino,39,2021-08-15
2021-0069,1,av. santa fe 3428,14,3428.0,peaton-auto,santa fe av.,auto,avenida,17:15:00,2021-0069,2021-08-20,2021,8,20,peaton,peaton,masculino,17,2021-08-21
2021-0070,1,"chilavert, martiniano, coronel y varela av.",8,sin dato,moto-cargas,"chilavert, martiniano, coronel",cargas,avenida,08:30:00,2021-0070,2021-08-28,2021,8,28,conductor,moto,masculino,31,2021-08-28
2021-0071,1,san luis 2730,3,2730.0,peaton-moto,san luis,moto,calle,16:00:00,2021-0071,2021-08-31,2021,8,31,peaton,peaton,masculino,88,2021-09-01
2021-0072,1,callao av. y paraguay,2,sin dato,peaton-auto,callao av.,auto,avenida,19:10:00,2021-0072,2021-09-01,2021,9,1,peaton,peaton,femenino,57,2021-09-01
2021-0073,1,"del libertador av. y agote, luis dr.",2,sin dato,bicicleta-auto,del libertador av.,auto,avenida,12:20:00,2021-0073,2021-09-18,2021,9,18,ciclista,bicicleta,femenino,76,2021-09-18
2021-0074,1,"paz, gral. av. y balbin, ricardo, dr. av.",12,sin dato,multiple,"paz, gral. av.",multiple,gral paz,15:00:00,2021-0074,2021-09-20,2021,9,20,conductor,moto,masculino,55,2021-09-20
2021-0075,1,salta y brasil,1,sin dato,peaton-cargas,salta,cargas,calle,14:30:00,2021-0075,2021-09-21,2021,9,21,peaton,peaton,masculino,65,2021-09-21
2021-0076,1,"moreno, perito av. 2152",7,2152.0,moto-objeto fijo,"moreno, perito av.",objeto fijo,avenida,06:15:00,2021-0076,2021-10-16,2021,10,16,conductor,moto,masculino,31,2021-10-16
2021-0077,1,directorio av. 1169,6,1169.0,moto-cargas,directorio av.,cargas,avenida,07:20:00,2021-0077,2021-10-18,2021,10,18,conductor,moto,femenino,31,2021-10-18
2021-0078,1,independencia av. y la plata av.,6,sin dato,moto-pasajeros,independencia av.,pasajeros,avenida,06:35:00,2021-0078,2021-10-23,2021,10,23,conductor,moto,masculino,22,2021-10-23
2021-0079,1,tucuman 3112,3,3112.0,peaton-auto,tucuman,auto,calle,03:30:00,2021-0079,2021-10-25,2021,10,25,peaton,peaton,masculino,0,2021-10-25
2021-0080,1,arenales y 9 de julio av.,1,sin dato,moto-auto,arenales,auto,avenida,16:16:00,2021-0080,2021-10-28,2021,10,28,conductor,moto,masculino,32,2021-10-28
2021-0081,1,au frondizi subida brandsen,4,sin dato,moto-cargas,autopista 1 sur presidente arturo frondizi,cargas,autopista,13:35:00,2021-0081,2021-11-02,2021,11,2,conductor,moto,masculino,26,2021-11-02
2021-0082,1,au 25 de mayo km7 (altura pasco),3,sin dato,moto-auto,autopista 25 de mayo,auto,autopista,04:39:00,2021-0082,2021-11-06,2021,11,6,conductor,moto,masculino,38,2021-11-06
2021-0083,1,cabildo av. y olazabal,13,sin dato,moto-auto,cabildo av.,auto,avenida,00:35:00,2021-0083,2021-11-09,2021,11,9,conductor,moto,masculino,30,2021-11-09
2021-0084,1,tapalque y bruix av.,9,sin dato,auto-objeto fijo,tapalque,objeto fijo,avenida,03:00:00,2021-0084,2021-11-11,2021,11,11,conductor,auto,masculino,32,2021-11-11
2021-0085,1,"paz, gral. av. y ezeiza",12,sin dato,moto-objeto fijo,"paz, gral. av.",objeto fijo,gral paz,18:30:00,2021-0085,2021-11-20,2021,11,20,conductor,moto,masculino,49,2021-11-20
2021-0086,1,rivadavia av. y puan,6,sin dato,peaton-pasajeros,rivadavia av.,pasajeros,avenida,10:10:00,2021-0086,2021-11-25,2021,11,25,peaton,peaton,masculino,75,2021-11-25
2021-0087,1,esmeralda 1359,1,1359.0,peaton-bicicleta,esmeralda,bicicleta,calle,11:22:00,2021-0087,2021-11-27,2021,11,27,peaton,peaton,femenino,73,2021-11-27
2021-0088,1,av. moroe y 3 de febrero,13,sin dato,moto-auto,monroe,auto,calle,15:40:00,2021-0088,2021-12-01,2021,12,1,conductor,moto,masculino,45,2021-12-07
2021-0089,1,av. gaona 3655,11,3655.0,moto-auto,gaona av.,auto,avenida,01:10:00,2021-0089,2021-12-02,2021,12,2,conductor,moto,masculino,41,2021-12-11
2021-0090,1,av. 9 de julio y lavalle,1,sin dato,peaton-pasajeros,9 de julio av.,pasajeros,avenida,11:45:00,2021-0090,2021-12-10,2021,12,10,peaton,peaton,masculino,73,2022-01-03
2021-0091,1,baigorria y victor hugo,10,sin dato,moto-auto,baigorria,auto,calle,23:00:00,2021-0091,2021-12-11,2021,12,11,conductor,moto,masculino,24,2021-12-11
2021-0092,1,av. rivadavia y av. pueyrredon,3,sin dato,peaton-auto,rivadavia av.,auto,avenida,06:20:00,2021-0092,2021-12-12,2021,12,12,peaton,peaton,femenino,50,2021-12-12
2021-0093,1,av. riestra y mom,7,sin dato,moto-auto,riestra av.,auto,avenida,17:10:00,2021-0093,2021-12-13,2021,12,13,pasajero_acompañante,moto,femenino,18,2021-12-18
2021-0094,1,au dellepiane y lacarra,9,sin dato,moto-auto,"dellepiane, luis, tte. gral.",auto,autopista,01:10:00,2021-0094,2021-12-20,2021,12,20,pasajero_acompañante,moto,femenino,43,2021-12-20
2021-0095,1,av. gaona y terrada,11,sin dato,moto-cargas,gaona av.,cargas,avenida,00:43:00,2021-0095,2021-12-30,2021,12,30,conductor,moto,masculino,27,2022-01-02
2021-0096,1,av. eva peron 4071,9,4071.0,auto-cargas,"peron, eva av.",cargas,avenida,10:30:00,2021-0096,2021-12-15,2021,12,15,conductor,auto,masculino,60,2021-12-20
2021-0097,1,padre carlos mujica 709,1,709.0,bicicleta-auto,padre carlos mujica,auto,calle,06:10:00,2021-0097,2021-11-18,2021,11,18,ciclista,bicicleta,masculino,53,2021-11-19
